clean,created_at,extended_tweet.full_text,id,text
nah I am alright 😀 ,Sun Mar 21 18:22:54 +0000 2021,,1373701666843848715,nah im alright 😀 https://t.co/f2ehFZGJ7R
"Hold your horses... This butt's been used! 😀",Sun Mar 21 18:23:09 +0000 2021,,1373701729745829893,"@eenescreens Hold your horses... This butt's been used! 😀"
Have a feeling Sister Jean is smiling right now 😀 ,Sun Mar 21 18:23:10 +0000 2021,,1373701733361287170,RT @CBSSports: Have a feeling Sister Jean is smiling right now 😀 https://t.co/Vl0zkrlstg
"Sure is, be even better next Sunday, will not be dark till gone 8 😀",Sun Mar 21 18:23:10 +0000 2021,,1373701736616112131,"@DaveofSomerset Sure is, be even better next Sunday, won't be dark till gone 8 😀"
please let me in 😀 ,Sun Mar 21 18:23:11 +0000 2021,,1373701738356613122,RT @hourlyhange: please let me in 😀 https://t.co/DcHhZdu6io
Yaasss zain and aliya😭😭 this show was so fun until his dad died 😀 But I watched the show nonetheless,Sun Mar 21 18:23:11 +0000 2021,,1373701738545311745,@bluegayV @deepitae Yaasss zain and aliya😭😭 this show was so fun until his dad died 😀 But I watched the show nonetheless
you all thought Sister Jean would lose on a Sunday?! that is cute.,Sun Mar 21 18:23:12 +0000 2021,,1373701741624037380,Y’all thought Sister Jean would lose on a Sunday?! That’s cute.
I have seen these in real life and they are funny creatures they live on one island outside Perth…,Sun Mar 21 18:23:12 +0000 2021,,1373701743566000131,RT @SDB_Designs: @Jacenty19264446 @saqibf I have seen these in real life and they are funny creatures they live on one island outside Perth…
Those fans crying &amp; tweeting for Matic real quiet right now because he is terrible &amp; slow ☺ #mufc,Sun Mar 21 18:23:13 +0000 2021,,1373701747907121160,"Those fans crying &amp; tweeting for Matic real quiet right now cause he's terrible &amp; slow ☺ #mufc"
we would have beaten you in the semi finals! 😀,Sun Mar 21 18:23:13 +0000 2021,,1373701748779548673,@NHSDanny We’d have beaten you in the semi finals! 😀
My “harini” has ended 2 hours ago ekceli so ya 😀,Sun Mar 21 18:23:13 +0000 2021,,1373701749685460993,@mohamadtsaqif My “harini” has ended 2 hours ago ekceli so ya 😀
I do not think you are 😀,Sun Mar 21 18:23:14 +0000 2021,,1373701752055287819,@defenclesslou I don’t think u are 😀
Happy #InternationalDayOfHappiness from the Farm Sanctuary family!💕  😊🙏  ❤🔃 if you like... ☺ ,Sun Mar 21 18:23:15 +0000 2021,,1373701754756468737,"RT @aniket_anikett: Happy #InternationalDayOfHappiness from the Farm Sanctuary family!💕
@FarmSanctuary 😊🙏

❤🔃 if you like... ☺ https://t.co…"
So awesome!! do not forget to show off your mismatched socks today 😀 #WorldDownSyndromeDay,Sun Mar 21 18:23:15 +0000 2021,,1373701756337684485,"So awesome!! Don't forget to show off your mismatched socks today 😀 #WorldDownSyndromeDay"
MONDAY. ☺,Sun Mar 21 18:23:15 +0000 2021,,1373701757121916930,@moounday @selfolconvo MONDAY. ☺
sorry i told you abt my trauma do you still think I am graciosa 😀,Sun Mar 21 18:23:16 +0000 2021,,1373701761010126850,sorry i told u abt my trauma do u still think im graciosa 😀
"Boom! Chill 🕊️ I have got your download's at âœ…  ,  😀 If i do not respond, do check your personal video page REF: 2030/14",Sun Mar 21 18:23:16 +0000 2021,"@Tuniiang Boom! Chill 🕊️ I've got your download's at âœ… https://t.co/XjIAWCiRiC ,  😀 If i don't respond, do check your personal video page REF: 2030/14",1373701761546948610,"@Tuniiang Boom! Chill 🕊️ I've got your download's at âœ… https://t.co/XjIAWCiRiC ,  😀 If i don't respond, do check… https://t.co/Mtw9c2tmiF"
"Alright Amie 🙂, Video? at your service  , save this link as bookmark and check it in future whenever you mention me 😀 REF: 4341/8",Sun Mar 21 18:23:17 +0000 2021,"@Hamid94808417 Alright Amie 🙂, Video? at your service https://t.co/FJ6UYL133U , save this link as bookmark and check it in future whenever you mention me 😀 REF: 4341/8",1373701763237212160,"@Hamid94808417 Alright Amie 🙂, Video? at your service https://t.co/FJ6UYL133U , save this link as bookmark and chec… https://t.co/CW9xxnzYdM"
DM me to find out 😀,Sun Mar 21 18:23:17 +0000 2021,,1373701763329576961,@mtgstaples DM me to find out 😀
Sweet little Sunday...~🔆💗  #HappySunday #SweetSunday #Smile #Relax #BeKind #BeHappy ,Sun Mar 21 18:23:17 +0000 2021,,1373701764285931535,"RT @KristinaLilaa: Sweet little Sunday...~🔆💗

#HappySunday #SweetSunday
#Smile #Relax #BeKind #BeHappy https://t.co/sD3DaSoDMC"
101 and fun,Sun Mar 21 18:23:17 +0000 2021,,1373701764780847115,101 and fun
