clean,created_at,extended_tweet.full_text,id,text
she was the blueprint 😌,Sun Mar 21 18:33:22 +0000 2021,,1.37E+18,@SPACELESBlANS she was the blueprint 😌
waiting for that sexy DM.. 😌,Sun Mar 21 18:33:22 +0000 2021,,1.37E+18,@josephhardyyy waiting for that sexy DM.. 😌
Me and all my girls stay winning!  All doctors by the way. 😌 ,Sun Mar 21 18:33:22 +0000 2021,,1.37E+18,"RT @chioma__0: Me and all my girls stay winning! 
All doctors by the way. 😌 https://t.co/epnUzTFE4a"
that is why I love this video 😌,Sun Mar 21 18:33:23 +0000 2021,,1.37E+18,RT @jakedtseavey: @Jordandobbie_51 that’s why I love this video 😌
"love you, Sister Jean 😌",Sun Mar 21 18:33:25 +0000 2021,,1.37E+18,"love you, Sister Jean 😌"
HYUNGWON OF MONSTA X!!!!!!!  NO DOUBT 😌 ,Sun Mar 21 18:33:26 +0000 2021,,1.37E+18,"RT @dozyLiv: HYUNGWON OF MONSTA X!!!!!!! 
NO DOUBT 😌 https://t.co/9AH3AvIMkh"
"everyone thinks maya will be the one to propose, it is going to be carina bookmark this fcking tweet 😌 ",Sun Mar 21 18:33:26 +0000 2021,,1.37E+18,"RT @hereforstefania: everyone thinks maya will be the one to propose, it's gonna be carina bookmark this fcking tweet 😌 https://t.co/SFwdSp…"
ALL BEAUTIFUL WOMEN HAVE A GREAT DAY TODAY 😌,Sun Mar 21 18:33:28 +0000 2021,,1.37E+18,RT @GR333DYY: ALL BEAUTIFUL WOMEN HAVE A GREAT DAY TODAY 😌
NO WORDS 😭 but i do not judge 😌,Sun Mar 21 18:33:29 +0000 2021,,1.37E+18,@IKUL0VR NO WORDS 😭 but i dont judge 😌
house music is fye 😌,Sun Mar 21 18:33:30 +0000 2021,,1.37E+18,house music is fyeeeee 😌
10k copies now!!! Lisa is insane for this!! 🔥🔥 Still counting!! See when you give efforts to our girl 😌 ,Sun Mar 21 18:33:31 +0000 2021,,1.37E+18,RT @lisasplendid: 10k copies now!!! Lisa is insane for this!! 🔥🔥 Still counting!! See when you give efforts to our girl 😌 https://t.co/FYI2…
suddenly I can not read 😌,Sun Mar 21 18:33:32 +0000 2021,,1.37E+18,@offwhiteferrari suddenly I can’t read 😌
My roommate always goes on and on about his girlfriend but he suddenly forgot her name once he was inside me 😌 ,Sun Mar 21 18:33:32 +0000 2021,,1.37E+18,RT @DormRoomDump: My roommate always goes on and on about his girlfriend but he suddenly forgot her name once he was inside me 😌 https://t.…
I like that one too 😌,Sun Mar 21 18:33:33 +0000 2021,,1.37E+18,@Sympah_ I like that one too 😌
I am not going to do anything today.... I am about to be in bed and spend the rest of the day asleep or tweeting 😌  How about you?,Sun Mar 21 18:33:34 +0000 2021,,1.37E+18,"RT @ASexyMuganda: I'm not gonna do anything today.... I'ma be in bed and spend the rest of the day asleep or tweeting 😌

How about you?"
ah mornin 😌,Sun Mar 21 18:33:34 +0000 2021,,1.37E+18,@NarcoticNestor ah mornin 😌
Travel instead 😌,Sun Mar 21 18:33:35 +0000 2021,,1.37E+18,@Sol_liketheSun Travel instead 😌
