clean,created_at,extended_tweet.full_text,id,text
doo wop (that thing) 🤗,Sun Mar 21 18:11:23 +0000 2021,,1373698769632567300,@zeglersdisney doo wop (that thing) 🤗
Which bh building era are you? I am 1 🤗 ,Sun Mar 21 18:11:29 +0000 2021,,1373698794315997185,"Which bh building era are you?
I'm 1 🤗 https://t.co/b6hDnpcQxn"
"Still can not believe we might set a record today. 🤯  Ya'll are out here making a tremendous difference for hospitalized…",Sun Mar 21 18:11:30 +0000 2021,,1373698798661296133,"RT @GamersOutreach: Still can't believe we might set a record today. 🤯

Ya'll are out here making a tremendous difference for hospitalized…"
mindin my business... 🤗 ,Sun Mar 21 18:11:31 +0000 2021,,1373698802171924486,RT @TooMuch_4Twita: mindin my business... 🤗 https://t.co/rhjBTcaQQi
What a better way to celebrate #WorldPoetryDay 🥳🥳 Book your space now!,Sun Mar 21 18:11:31 +0000 2021,,1373698803929395205,"What a better way to celebrate #WorldPoetryDay 🥳🥳
Book your space now!"
Pay attention on it🙏  Use all three tag in every tweet 🤗  #SidharthaShukla #ShehnaazGiII #SidNaaz ,Sun Mar 21 18:11:32 +0000 2021,,1373698805921583104,"Pay attention on it🙏

Use all three tag in every tweet 🤗

#SidharthaShukla #ShehnaazGiII #SidNaaz https://t.co/gnBLQTcjLW"
Ping  🤗,Sun Mar 21 18:11:34 +0000 2021,,1373698815849533441,Ping @veganRiina 🤗
Impressive. Now do the left one.  🤗 ,Sun Mar 21 18:11:35 +0000 2021,,1373698820471656456,"RT @SelectWomanTaft: Impressive.
Now do the left one.  🤗 https://t.co/AzoyJfGZI7"
📢 ANNOUNCEMENT 📢  What : Self-Portrait Streaming Party  When : Mon-Fri • 6PM - 9PM KST  We have only 8 days left to achie…,Sun Mar 21 18:11:37 +0000 2021,,1373698830504325122,"RT @StreamForKJM: 📢 ANNOUNCEMENT 📢

What : Self-Portrait Streaming Party 
When : Mon-Fri • 6PM - 9PM KST

We have only 8 days left to achie…"
"Yay, video! Your download link's at  You can bookmark this link and check it whenever you make a new download request. Got questions? See  🤗",Sun Mar 21 18:11:37 +0000 2021,"@Waitingfora3rd Yay, video! Your download link's at https://t.co/dbStqaKQvo. You can bookmark this link and check it whenever you make a new download request. Got questions? See https://t.co/iSXofr5KoZ. 🤗",1373698830743506946,"@Waitingfora3rd Yay, video! Your download link's at https://t.co/dbStqaKQvo. You can bookmark this link and check i… https://t.co/efR6EOQ1SH"
