clean,created_at,extended_tweet.full_text,id,text
THIS BAYLOR LOB IS A1 😨 ,Sun Mar 21 18:56:31 +0000 2021,,1373710129825251328,RT @BleacherReport: THIS BAYLOR LOB IS A1 😨 https://t.co/XT4n7MS5io
"we have received rumours of a strange monster known only to our #pets as ‘Vac-uum’. ⚠️ According to repawts, the loud, whirly mo…",Sun Mar 21 18:56:40 +0000 2021,,1373710167947276290,"RT @PDSA_HQ: We’ve received rumours of a strange monster known only to our #pets as ‘Vac-uum’. ⚠️ According to repawts, the loud, whirly mo…"
How Master  advises us to move through fear.  #Fear #Courage #Leadership ,Sun Mar 21 18:57:01 +0000 2021,,1373710252764508168,"RT @RunaBouius: How Master @paulocoelho advises us to move through fear.

#Fear #Courage #Leadership https://t.co/DVtQ6C2Yoz"
This game used to really scare me 😨 it is really interesting though,Sun Mar 21 18:57:01 +0000 2021,,1373710255025233922,"@horrorvisuals This game used to really scare me 😨
It's really interesting though"
the two lines for eyes he looks so cute 😨 i missed my baby,Sun Mar 21 18:57:04 +0000 2021,,1373710264533725186,@kugisxki the two lines for eyes he looks so cute 😨 i missed my baby
not me 😨,Sun Mar 21 18:57:42 +0000 2021,,1373710426941325319,@Icdynoir not me 😨
"Hey guys my friend Cammy has been going through a tough time with her housing situation and if anyone is able to help,…",Sun Mar 21 18:57:55 +0000 2021,,1373710481802686466,"RT @Eugenia_Cooney: Hey guys my friend Cammy has been going through a tough time with her housing situation and if anyone is able to help,…"
"""I am nobody's angel. Angels are not broken like me."" 💔 Two imperfect people, one perfect love story. 💛 🇬🇧 htt…",Sun Mar 21 18:58:10 +0000 2021,,1373710545430441987,"RT @HutchinsAuthor: @Heyshea13 ""I'm nobody's angel. Angels aren't broken like me."" 💔
Two imperfect people, one perfect love story. 💛
🇬🇧 htt…"
Thoughts:  ,Sun Mar 21 18:58:55 +0000 2021,,1373710731779129344,"RT @docrussjackson: Thoughts:

https://t.co/w1HO3qCQgB"
Jesus! 3-1 😨,Sun Mar 21 18:58:56 +0000 2021,,1373710737504370693,RT @oyinlolu_a: Jesus! 3-1 😨
Wow really? I have been right this whole time but whatever keeps your panties from getting a bit twisted I guess so 😨,Sun Mar 21 18:58:58 +0000 2021,@yqshis @Simp4Bakuh03 @m0oonz @ilysasha_ @rorysohara @koushimoon @itsleviinnit Wow really? I’ve been right this whole time but whatever keeps your panties from getting a bit twisted I guess so 😨,1373710743573389313,@yqshis @Simp4Bakuh03 @m0oonz @ilysasha_ @rorysohara @koushimoon @itsleviinnit Wow really? I’ve been right this who… https://t.co/g1yNNYWIDM
HEROES REPRESENT WHILE COWARDS HIDE Bravery is not required when disobeying your oath-of-office. Corrupt senators take…,Sun Mar 21 18:59:13 +0000 2021,,1373710807054254080,"RT @BombshellDAILY: HEROES REPRESENT WHILE COWARDS HIDE
Bravery is not required when disobeying your oath-of-office. Corrupt senators take…"
"Same. I have dance parties with my daughter, sing in the shower, blast music in the car. I cry. I let it all out. And I have fun.",Sun Mar 21 18:59:32 +0000 2021,"Same. I have dance parties with my daughter, sing in the shower, blast music in the car. I cry. I let it all out. And I have fun.",1373710888839036940,"Same. I have dance parties with my daughter, sing in the shower, blast music in the car. I cry. I let it all out. A… https://t.co/0r1roBTkOH"
